embedding,reduction,algo,k,params,silhouette,davies_bouldin,calinski_harabasz,n_clusters,noise,noise_rate,silhouette_core,davies_bouldin_core,calinski_harabasz_core,n_labeled,score_for_rank
all-MiniLM-L6-v2,pca,Agglomerative,4.0,{'n_clusters': 4},0.10184868425130844,2.7277939264906035,1190.0474853515625,4.0,0.0,0.0,,,,,0.10184868425130844
all-MiniLM-L6-v2,pca,Spectral,4.0,"{'n_clusters': 4, 'affinity': 'nearest_neighbors'}",0.17513397336006165,1.299400325568119,62.28318786621094,4.0,0.0,0.0,,,,,0.17513397336006165
all-MiniLM-L6-v2,pca,GMM,4.0,{'n_components': 4},0.10845073312520981,3.003256051713719,1202.837158203125,4.0,0.0,0.0,,,,,0.10845073312520981
all-MiniLM-L6-v2,pca,KMeans,6.0,{'n_clusters': 6},0.04821999743580818,3.381722786292304,1093.9244384765625,6.0,0.0,0.0,,,,,0.04821999743580818
all-MiniLM-L6-v2,pca,Agglomerative,6.0,{'n_clusters': 6},0.07534903287887573,3.206721044186832,919.3003540039062,6.0,0.0,0.0,,,,,0.07534903287887573
all-MiniLM-L6-v2,pca,Spectral,6.0,"{'n_clusters': 6, 'affinity': 'nearest_neighbors'}",0.1480512022972107,1.7678346892273955,66.99010467529297,6.0,0.0,0.0,,,,,0.1480512022972107
all-MiniLM-L6-v2,pca,GMM,6.0,{'n_components': 6},0.04508211091160774,3.896384995647104,911.1288452148438,6.0,0.0,0.0,,,,,0.04508211091160774
all-MiniLM-L6-v2,pca,KMeans,8.0,{'n_clusters': 8},0.05618642643094063,3.1872193044015953,933.7537231445312,8.0,0.0,0.0,,,,,0.05618642643094063
all-MiniLM-L6-v2,pca,Agglomerative,8.0,{'n_clusters': 8},0.044038642197847366,3.4093261707392992,764.5277709960938,8.0,0.0,0.0,,,,,0.044038642197847366
all-MiniLM-L6-v2,pca,Spectral,8.0,"{'n_clusters': 8, 'affinity': 'nearest_neighbors'}",0.09176289290189743,1.3776578081306654,165.57557678222656,8.0,0.0,0.0,,,,,0.09176289290189743
all-MiniLM-L6-v2,pca,GMM,8.0,{'n_components': 8},0.042040880769491196,3.7036521853940076,769.4796752929688,8.0,0.0,0.0,,,,,0.042040880769491196
all-MiniLM-L6-v2,pca,KMeans,10.0,{'n_clusters': 10},0.05828499794006348,3.230370377360969,806.5324096679688,10.0,0.0,0.0,,,,,0.05828499794006348
all-MiniLM-L6-v2,pca,Agglomerative,10.0,{'n_clusters': 10},0.026750430464744568,3.302675910810997,664.4293823242188,10.0,0.0,0.0,,,,,0.026750430464744568
all-MiniLM-L6-v2,pca,Spectral,10.0,"{'n_clusters': 10, 'affinity': 'nearest_neighbors'}",0.09279344975948334,1.8628958913346356,146.55557250976562,10.0,0.0,0.0,,,,,0.09279344975948334
all-MiniLM-L6-v2,pca,GMM,10.0,{'n_components': 10},0.04430393502116203,3.5234970126962892,654.1729125976562,10.0,0.0,0.0,,,,,0.04430393502116203
all-MiniLM-L6-v2,pca,KMeans,12.0,{'n_clusters': 12},0.05591251328587532,3.3017125491416617,710.9463500976562,12.0,0.0,0.0,,,,,0.05591251328587532
all-MiniLM-L6-v2,pca,Agglomerative,12.0,{'n_clusters': 12},0.031325794756412506,3.1690775916885694,596.9611206054688,12.0,0.0,0.0,,,,,0.031325794756412506
all-MiniLM-L6-v2,pca,Spectral,12.0,"{'n_clusters': 12, 'affinity': 'nearest_neighbors'}",0.0652913749217987,1.609541881094551,95.89765930175781,12.0,0.0,0.0,,,,,0.0652913749217987
all-MiniLM-L6-v2,pca,GMM,12.0,{'n_components': 12},0.039188873022794724,3.7507086952524973,590.1699829101562,12.0,0.0,0.0,,,,,0.039188873022794724
